Name,Power,Kill Points,T4 Kills,T4 Points,T5 Kills,T5 Points,Deaths
Wreckingkru,"99,067,025","2,263,176,138","57,627,189","576,271,890","83,760,967","1,675,219,340","20,687,113"
"""9 AnHayHat","92,731,684","2,986,670,546","118,532,844","1,185,328,440","87,034,381","1,740,687,620","19,941,982"
Pumpknfap,"90,987,169","1,749,620,864","55,221,666","552,216,660","57,306,982","1,146,139,640","18,091,363"
Echo,"89,833,012","3,835,682,438","137,434,685","1,374,346,850","120,227,172","2,404,543,440","24,607,561"
SpookNL,"89,299,688","6,388,957,680","267,139,480","2,671,394,800","182,157,632","3,643,152,640","43,437,204"
Eltrasco,"88,078,363","2,719,187,152","101,036,428","1,010,364,280","83,553,085","1,671,061,700","20,332,635"
Ovais1oo,"88,042,029","5,015,894,076","210,632,521","2,106,325,210","142,934,041","2,858,680,820","26,634,882"
UnpaidFarm,"87,264,169","7,735,328,279","281,954,771","2,819,547,710","240,062,978","4,801,259,560","35,097,146"
XSIRO,"85,712,534","1,678,064,583","62,544,313","625,443,130","49,722,376","994,447,520","12,433,836"
xqusme,"85,629,908","11,699,432,367","321,750,285","3,217,502,850","421,844,809","8,436,896,180","45,745,187"
Heretcfap,"85,512,477","414,015,300","25,221,022","252,210,220","7,796,126","155,922,520","3,448,149"
LICHI&,"84,948,132","2,738,857,470","131,507,487","1,315,074,870","64,241,514","1,284,830,280","15,784,425"
